Wavelength,Air,Glass,SS,MC,DS,2SS1MC,2MC1SS,2SS1DS,2DS1SS,1SS1MC1DS
234,99.978515,0.000111,0.003856,0.009696,-0.00011,-0.00011,0.001322,0.000331,-0.001212,0.000661
232,99.995695,-0.000893,0.001325,0.005409,-0.001325,-0.001214,-0.000331,-0.000773,-0.001545,-0.000552
230,100.011726,-0.00179,-0.000332,0.002544,-0.00177,-0.001881,-0.001106,-0.001549,-0.001991,-0.001438
228,100.011418,-0.00258,-0.00133,0.000887,-0.001663,-0.002106,-0.001219,-0.002217,-0.002217,-0.001663
226,100.015549,-0.002587,-0.001666,0,-0.001888,-0.002221,-0.001444,-0.002777,-0.001999,-0.002221
224,100.00445,-0.003268,-0.002225,-0.001113,-0.002448,-0.002782,-0.001446,-0.002782,-0.002337,-0.00267
222,99.990528,-0.003389,-0.002897,-0.001672,-0.002452,-0.002897,-0.002117,-0.003009,-0.003009,-0.002229
220,99.994198,-0.003734,-0.002678,-0.001451,-0.002455,-0.00279,-0.002455,-0.002901,-0.003013,-0.002343
218,100.006145,-0.003627,-0.002123,-0.001452,-0.002793,-0.003128,-0.002234,-0.002681,-0.002681,-0.002793
216,100.006598,-0.003179,-0.00246,-0.001454,-0.003131,-0.00302,-0.002237,-0.00246,-0.002796,-0.003131
214,100.018027,-0.003412,-0.003135,-0.001456,-0.003023,-0.003023,-0.003023,-0.002799,-0.003247,-0.003023
212,100.029824,-0.00342,-0.003364,-0.002018,-0.002915,-0.003588,-0.003476,-0.003251,-0.003476,-0.003251
210,100.012913,-0.003656,-0.003369,-0.002021,-0.002919,-0.003481,-0.003256,-0.003593,-0.003369,-0.003481
208,100.020926,-0.00401,-0.003263,-0.001688,-0.003488,-0.003713,-0.003263,-0.00405,-0.003263,-0.00315
206,100.020633,-0.004599,-0.003495,-0.002255,-0.004172,-0.004059,-0.00327,-0.004172,-0.003721,-0.003383
204,100.020456,-0.004963,-0.004295,-0.002712,-0.004634,-0.004408,-0.004069,-0.004521,-0.004182,-0.004295
202,100.021745,-0.006257,-0.00487,-0.002605,-0.004644,-0.004757,-0.004983,-0.004983,-0.00487,-0.00487
200,100.008738,-0.006049,-0.005561,-0.003177,-0.00522,-0.005788,-0.004993,-0.005561,-0.005561,-0.005447
